SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
207823301010035,782330101,35,52102.74,PNX,0.021938631,0.9999465,0.9999858,0.999959
202035602010016,203560201,16,60094.97,PNS,0.01945648,0.99950206,0.99995446,0.9999671
208244505010089,824450501,89,77991.16,PNS,0.012025618,0.9999398,0.99999726,0.99945754
207223603010022,722360301,22,103492.0,PNS,0.009833748,0.9999505,0.99999845,1.0
201489601010029,148960101,27,55790.88,PNX,0.018237716,0.99997306,0.99999046,0.9999865
201489601010089,148960101,88,55746.7,PNS,0.010925096,0.99999666,0.9999995,0.99996376
201080604010049,555780401,57,86431.78,PNS,0.009610408,0.9999938,0.99991727,0.99982196
201080605010079,604960301,47,99408.38,PNS,0.00468698,0.99999917,0.9999999,0.9999999
201126101010004,745110301,10,62312.28,PNS,0.015978156,0.9998752,0.99992275,0.9999515
201092707010021,763120201,62,68938.62,PNS,0.011736895,0.9999373,0.99991965,0.9998925
202039001010017,203900101,17,88913.16,PNS,0.0114568975,0.9999794,0.99994755,0.999948
208220501010029,822050101,29,51256.4,PNS,0.007713837,0.999688,0.999987,0.9997689
203002702010057,300270201,57,76070.78,PNX,0.012291078,0.9998858,0.9999665,0.9996656
201042601015128,824450501,197,77996.35,PNS,0.012246962,0.9999386,0.9999951,0.9998826
208244505010032,824450501,32,77996.35,PNS,0.017620489,0.99989986,0.99999774,0.9998136
202124802010103,824450501,123,77991.16,PNX,0.011299111,0.99992526,0.9999988,0.99989295
201111202010029,305540701,37,58765.2,PNS,0.017389195,0.99993694,0.9999883,0.9994716
207623601010012,762360101,12,74643.41,PNX,0.010585622,0.9999938,0.99992144,0.99999166
201481701010024,148170101,23,67711.02,PNX,0.0172404,0.9999527,0.99990606,0.9999944
201080604010067,604960301,54,99400.6,PNS,0.0044013294,0.9999994,1.0,0.9999988
201080604010013,604960301,17,99400.6,PNS,0.0074996445,0.9999981,0.9999999,1.0
201080605010131,604960301,107,99410.99,PNS,0.0039141965,0.9999999,0.9999999,0.99999857
202104801010008,694670101,6,84479.2,PNX,0.022748357,0.9992347,0.9999807,0.99932265
203002405010041,694170101,8,113361.9,PNS,0.01727314,0.9999876,0.99997306,0.9997782
207611001010214,790380501,144,92270.3,PNX,0.018141363,0.9999633,0.999992,0.99906653
203011503010036,764010101,33,73428.73,PNX,0.01741557,0.99982244,0.99999523,0.999964
201489601010042,148960101,44,55809.08,PNX,0.012729959,0.9999893,0.99999297,0.9991284
207252401010057,761550201,47,80734.24,PNS,0.009404627,0.999967,0.9999994,0.9999821
207437002010001,743700201,1,100550.6,PNS,0.23968783,0.99992204,0.9999957,0.9999765
203025001010045,302500101,45,75947.01,PNX,0.008632596,0.999987,0.99999785,0.9998996
208229601010020,822960201,6,103195.6,PNX,0.011566777,0.99974626,0.99997926,0.99993026
207216201010082,761920901,29,51573.6,PNX,0.015180165,0.99982786,0.9999527,0.99992836
201125219010075,824610201,62,77840.56,PNS,0.013539237,0.99981934,0.999974,0.9998599
202124802015125,824450501,92,77996.35,PNX,0.012591684,0.999969,0.99999785,0.99998915
207843302010045,784330201,45,82923.59,PNX,0.013304175,0.99992716,0.9999963,0.999453
206569901010034,790380601,87,116691.4,PNX,0.010633363,0.9999734,0.9999975,0.99928856
207616301015118,761630301,119,90347.4,PNS,0.010423421,0.9998965,0.99996996,0.9999999
201122905010032,500750101,28,65020.79,PNX,0.014067082,0.9999913,0.99999785,0.99931884
201126101010019,745110301,19,62312.47,PNS,0.0115397945,0.99954456,0.99997485,0.9999443
201129721010067,202670501,62,73694.48,PNU,0.019813692,0.99999976,0.9999709,0.99975556
201485605010069,148560501,74,63357.71,PNU,0.009301549,0.99979347,0.9999528,0.99922335
207826501010041,782650101,44,92110.79,PNX,0.009921188,0.99995446,0.9999908,0.99962926
201520201010188,152020101,188,71536.36,PNU,0.008821811,0.99999225,0.9999989,0.9994405
