Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(2, 7, 8, 9, 12)",0.9474999904632568,0.9490000009536744,0.2878787815570831,0.9166666666666666,0.1929824561403508,0.3188405797101449,0.3188405797101449
"(2, 7, 8, 10, 11)",0.9484999775886536,0.9501000046730042,0.9545454382896423,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(2, 7, 8, 10, 12)",0.9473888874053956,0.948300004005432,0.2878787815570831,0.9166666666666666,0.1929824561403508,0.3188405797101449,0.3188405797101449
"(2, 7, 8, 11, 12)",0.948888897895813,0.9503999948501588,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(2, 8, 9, 10, 11)",0.9139999747276306,0.9135000109672546,0.7727272510528564,1.0,0.4444444444444444,0.6153846153846153,0.6153846153846153
"(2, 8, 9, 10, 12)",0.9427777528762816,0.9449999928474426,0.5757575631141663,1.0,0.3,0.4615384615384615,0.4615384615384615
"(2, 8, 9, 11, 12)",0.948722243309021,0.9501000046730042,0.6818181872367859,0.9166666666666666,0.3548387096774194,0.5116279069767442,0.5116279069767442
"(2, 8, 10, 11, 12)",0.9472777843475342,0.9472000002861024,0.7878788113594055,0.9166666666666666,0.4583333333333333,0.611111111111111,0.611111111111111
"(3, 4, 5, 6, 8)",0.9231666922569275,0.923799991607666,0.8787878751754761,1.0,0.6,0.7499999999999999,0.7499999999999999
"(3, 4, 5, 7, 8)",0.9377777576446532,0.941100001335144,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(3, 4, 5, 8, 9)",0.9409999847412108,0.9442999958992004,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(3, 4, 5, 8, 10)",0.8281111121177673,0.8256000280380249,0.8030303120613098,0.5,0.4615384615384615,0.48,0.48
"(3, 4, 5, 8, 11)",0.945722222328186,0.9501000046730042,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909092,0.9090909090909092
"(3, 4, 5, 8, 12)",0.9375,0.9416999816894532,0.1818181872367859,1.0,0.1818181818181818,0.3076923076923077,0.3076923076923077
"(3, 4, 6, 7, 8)",0.9391666650772096,0.942900002002716,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(3, 4, 6, 8, 9)",0.9426666498184204,0.9459999799728394,0.9242424368858337,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(3, 4, 6, 8, 10)",0.8471666574478149,0.84579998254776,0.8181818127632141,0.6666666666666666,0.5,0.5714285714285715,0.5714285714285715
"(3, 4, 6, 8, 11)",0.9471666812896729,0.9505000114440918,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
