Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(0, 8, 11)",0.9255555272102356,0.9239000082015992,0.8695651888847351,0.8461538461538461,0.6111111111111112,0.7096774193548387
"(0, 8, 12)",0.9187777638435364,0.9210000038146972,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(0, 8, 13)",0.9375555515289308,0.9359999895095824,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 9, 10)",0.9216111302375792,0.9218000173568726,0.52173912525177,1.0,0.2826086956521739,0.4406779661016949
"(0, 9, 11)",0.9313889145851136,0.9315999746322632,0.695652186870575,0.9230769230769232,0.375,0.5333333333333333
"(0, 9, 12)",0.5069444179534912,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 9, 13)",0.4942222237586975,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 10, 11)",0.6600000262260437,0.6664999723434448,0.1884057968854904,0.6923076923076923,0.1475409836065573,0.24324324324324312
"(0, 10, 12)",0.8162222504615784,0.8216999769210815,0.3333333432674408,0.8461538461538461,0.2,0.3235294117647059
"(0, 10, 13)",0.75855553150177,0.7595000267028809,0.2028985470533371,0.7692307692307693,0.1612903225806451,0.2666666666666666
"(0, 11, 12)",0.8998888731002808,0.8967999815940857,0.3333333432674408,0.9230769230769232,0.2105263157894736,0.34285714285714275
"(0, 11, 13)",0.9270555377006532,0.9264000058174132,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 12, 13)",0.9198889136314392,0.9164000153541564,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 2, 3)",0.9327222108840942,0.932799994945526,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(1, 2, 4)",0.9225000143051147,0.9233999848365784,0.6086956262588501,1.0,0.325,0.4905660377358491
"(1, 2, 5)",0.9160555601119996,0.9171000123023988,0.6086956262588501,0.9230769230769232,0.3157894736842105,0.47058823529411764
"(1, 2, 6)",0.9186111092567444,0.920199990272522,0.6811594367027283,0.9230769230769232,0.3636363636363636,0.5217391304347826
"(1, 2, 7)",0.9203888773918152,0.920199990272522,0.6666666865348816,0.9230769230769232,0.3529411764705882,0.5106382978723404
"(1, 2, 8)",0.923888862133026,0.9196000099182128,0.5652173757553101,1.0,0.3023255813953488,0.46428571428571425
"(1, 2, 9)",0.9297778010368348,0.9290000200271606,0.3913043439388275,1.0,0.2363636363636363,0.3823529411764705
"(1, 2, 10)",0.4979444444179535,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 2, 11)",0.9218888878822328,0.923799991607666,0.695652186870575,0.9230769230769232,0.375,0.5333333333333333
"(1, 2, 12)",0.9170555472373962,0.919099986553192,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 2, 13)",0.4953888952732086,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 4)",0.4986666738986969,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 5)",0.4975000023841858,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 6)",0.5037222504615784,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 7)",0.4976666569709778,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 8)",0.931166648864746,0.9341999888420104,0.260869562625885,1.0,0.203125,0.33766233766233766
"(1, 3, 9)",0.933222234249115,0.9319999814033508,0.304347813129425,1.0,0.2131147540983606,0.35135135135135126
"(1, 3, 10)",0.9189444184303284,0.9169999957084656,0.6376811861991882,1.0,0.3421052631578947,0.5098039215686274
"(1, 3, 11)",0.92894446849823,0.9277999997138976,0.6086956262588501,1.0,0.325,0.4905660377358491
"(1, 3, 12)",0.500166654586792,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 3, 13)",0.931166648864746,0.9301999807357788,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 4, 5)",0.915333330631256,0.9103000164031982,0.6521739363670349,1.0,0.3513513513513513,0.5199999999999999
"(1, 4, 6)",0.9222777485847472,0.9244999885559082,0.5652173757553101,1.0,0.3023255813953488,0.46428571428571425
"(1, 4, 7)",0.9171110987663268,0.9186000227928162,0.6666666865348816,1.0,0.3611111111111111,0.5306122448979591
"(1, 4, 8)",0.9183333516120912,0.9174000024795532,0.6521739363670349,1.0,0.3513513513513513,0.5199999999999999
"(1, 4, 9)",0.923888862133026,0.9261000156402588,0.5072463750839233,1.0,0.2765957446808511,0.43333333333333335
"(1, 4, 10)",0.7475000023841858,0.7523999810218811,0.5942028760910034,1.0,0.3170731707317073,0.48148148148148145
"(1, 4, 11)",0.9277777671813964,0.9283999800682068,0.695652186870575,0.9230769230769232,0.375,0.5333333333333333
"(1, 4, 12)",0.5057777762413025,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 4, 13)",0.9324444532394408,0.9329000115394592,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 5, 6)",0.5021666884422302,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 5, 7)",0.5003888607025146,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 5, 8)",0.4973888993263244,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 5, 9)",0.5005555748939514,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 5, 10)",0.5414999723434448,0.5309000015258789,0.2753623127937317,0.7692307692307693,0.175438596491228,0.28571428571428564
"(1, 5, 11)",0.9213333129882812,0.9196000099182128,0.739130437374115,0.9230769230769232,0.4137931034482758,0.5714285714285714
"(1, 5, 12)",0.4978888928890228,0.5,0.8115941882133484,0.0,0.0,0.0
