,Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
223,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12)",0.9338333606719972,0.9368000030517578,0.2753623127937317,0.9230769230769232,0.1967213114754098,0.3243243243243243,0.3243243243243243
224,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13)",0.9415000081062316,0.939300000667572,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
225,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13)",0.9415000081062316,0.9391000270843506,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
226,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12)",0.92338889837265,0.9235000014305116,0.5797101259231567,0.9230769230769232,0.3,0.4528301886792453,0.4528301886792453
227,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13)",0.923555552959442,0.9264000058174132,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
228,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13)",0.9195555448532104,0.9187999963760376,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
229,"(0, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13)",0.941611111164093,0.9398000240325928,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
230,"(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12)",0.9307777881622314,0.9286999702453612,0.4927536249160766,0.9230769230769232,0.2608695652173913,0.4067796610169491,0.4067796610169491
231,"(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13)",0.9282777905464172,0.9282000064849854,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
232,"(0, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13)",0.9269999861717224,0.925599992275238,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
233,"(0, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13)",0.9338333606719972,0.9315999746322632,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
234,"(0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13)",0.9268888831138612,0.925000011920929,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
235,"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12)",0.9197221994400024,0.9200999736785888,0.3768115937709808,0.9230769230769232,0.2222222222222222,0.3582089552238806,0.3582089552238806
236,"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13)",0.9328888654708862,0.930999994277954,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
237,"(0, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13)",0.9274444580078124,0.9258999824523926,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
